Number	Branch Ratio	Output Phase	Output Branch Ratio	Relative Difference(%)
85	0.10	-1.66637+/-3.96174	0.12684+/-0.00194496	0.2684
86	0.10	-1.68137+/-4.00202	0.124516+/-0.00191106	0.24516
87	0.10	-1.69191+/-4.61923	0.122919+/-0.00185168	0.22919
88	0.10	-1.69534+/-5.82506	0.122414+/-0.00183507	0.22414
89	0.10	-1.69001+/-4.74784	0.123039+/-0.00184555	0.23039
90	0.10	-1.68119+/-4.59444	0.124543+/-0.00186593	0.24543
91	0.10	-1.70789+/-6.29922	0.120525+/-0.00182226	0.20525
92	0.10	-1.67938+/-4.75214	0.124814+/-0.00186931	0.24814
93	0.10	-1.67041+/-4.28255	0.126217+/-0.00190732	0.26217
94	0.10	-1.6813+/-4.45988	0.124433+/-0.00187436	0.24433
95	0.10	-1.68105+/-4.27164	0.124575+/-0.00188752	0.24575
96	0.10	-1.70888+/-6.05366	0.120414+/-0.00181624	0.20414
97	0.10	-1.68668+/-4.68873	0.123701+/-0.00185244	0.23701
98	0.10	-1.68708+/-4.63916	0.123646+/-0.00185618	0.23646
99	0.10	-1.68979+/-4.70425	0.12324+/-0.00184916	0.2324
